name,latitude,longitude,都道府県,市区町村,住所,ポケモン,画像URL,詳細URL,manhole_no
鹿児島県/指宿市（イーブイ）,31.237194,130.642861,鹿児島県,指宿市,鹿児島県指宿市湊1丁目1-1,イーブイ,https://local.pokemon.jp/img/p/manhole/1a0d76db2fb9b2cd5857ad3ee233e054_l.png,https://local.pokemon.jp/manhole/desc/1/,1
鹿児島県/指宿市（シャワーズ）,31.228,130.653028,鹿児島県,指宿市,鹿児島県指宿市湯の浜5丁目26-29,シャワーズ,https://local.pokemon.jp/img/p/manhole/79b15b766a24880ed19bda2ec4863ab2_l.png,https://local.pokemon.jp/manhole/desc/2/,2
鹿児島県/指宿市（サンダース）,31.255278,130.647639,鹿児島県,指宿市,鹿児島県指宿市東方9300−1,サンダース,https://local.pokemon.jp/img/p/manhole/5c4e9fb2f499dee2fd8206c9a0926294_l.png,https://local.pokemon.jp/manhole/desc/3/,3
鹿児島県/指宿市（ブースター）,31.229417,130.651972,鹿児島県,指宿市,鹿児島県指宿市湯の浜5丁目25-18,ブースター,https://local.pokemon.jp/img/p/manhole/3b15f5b988170e1ac987781317e3e6c4_l.png,https://local.pokemon.jp/manhole/desc/4/,4
鹿児島県/指宿市（エーフィ）,31.238278,130.645,鹿児島県,指宿市,鹿児島県指宿市湊2丁目5-33,エーフィ,https://local.pokemon.jp/img/p/manhole/80a6b07026c38a97c89436f59e3c5cc2_l.png,https://local.pokemon.jp/manhole/desc/5/,5
鹿児島県/指宿市（ブラッキー）,31.236833,130.642188,鹿児島県,指宿市,鹿児島県指宿市十二町指宿駅,ブラッキー,https://local.pokemon.jp/img/p/manhole/2662aede3a093feb445970ca2e077f85_l.png,https://local.pokemon.jp/manhole/desc/6/,6
鹿児島県/指宿市（リーフィア）,31.263889,130.662917,鹿児島県,指宿市,鹿児島県指宿市東方11915-5,リーフィア,https://local.pokemon.jp/img/p/manhole/079877ac0df6af8da9edc55ca9a06ae8_l.png,https://local.pokemon.jp/manhole/desc/7/,7
鹿児島県/指宿市（グレイシア）,31.231056,130.644611,鹿児島県,指宿市,鹿児島県指宿市十二町2290,グレイシア,https://local.pokemon.jp/img/p/manhole/580f382c51079d1d67edbb02d23462f4_l.png,https://local.pokemon.jp/manhole/desc/8/,8
鹿児島県/指宿市（ニンフィア）,31.235444,130.641389,鹿児島県,指宿市,鹿児島県指宿市十二町2190,ニンフィア,https://local.pokemon.jp/img/p/manhole/5953fdc915091e1bfb6a059b8de5a086_l.png,https://local.pokemon.jp/manhole/desc/9/,9
岩手県/洋野町（カブト）,40.406101,141.719531,岩手県,洋野町,岩手県洋野町種市22-133-11,カブト,https://local.pokemon.jp/img/p/manhole/03c8da68d0400d4eaf0d9bf03d274f98_l.png,https://local.pokemon.jp/manhole/desc/10/,10
岩手県/久慈市（プテラ）,40.189742,141.765832,岩手県,久慈市,岩手県久慈市中町2-5-6,プテラ,https://local.pokemon.jp/img/p/manhole/ce6927c9ff939ee9cb4936e6480b8333_l.png,https://local.pokemon.jp/manhole/desc/11/,11
岩手県/野田村（イワーク）,40.082726,141.828678,岩手県,野田村,岩手県野田村大字野田第5地割,イワーク,https://local.pokemon.jp/img/p/manhole/b30c30e0cdf7b450379ca2f43faa3aac_l.png,https://local.pokemon.jp/manhole/desc/12/,12
岩手県/普代村（タテトプス）,40.002821,141.885736,岩手県,普代村,岩手県普代村9-5-3,タテトプス,https://local.pokemon.jp/img/p/manhole/20fa066c221649e42e0aaf974678c05c_l.png,https://local.pokemon.jp/manhole/desc/13/,13
